merchant_name,merchant_category,transactions,gross_tv,fee_income,chargeback_loss,refund_loss,fraud_loss,net_pnl,fraud_count,chargeback_count,avg_risk,fraud_rate,chargeback_rate,refund_rate,merchant_risk_rank
eBay GST,Government & Taxes,91,441649.42,1111.86,3219.92,1561.8700000000001,53973.469999999994,-58527.56,5,2,11.637362637362637,5.49,2.2,0.3536,High
DraftKings,Gaming & Gambling,177,799819.83,1972.0900000000001,14205.91,7692.349999999999,49359.61,-66075.77,8,3,17.35593220338983,4.52,1.69,0.9618,Critical
MoneyGram,Financial Services / Money Transfer,685,3636579.65,8838.54,885871.2000000001,31214.2,43819.28,-948939.63,17,10,16.547445255474454,2.48,1.46,0.8583,Critical
Udemy,Education,193,762015.9500000001,2372.22,59160.65,4405.4800000000005,43769.52999999999,-103279.32999999999,10,6,10.82901554404145,5.18,3.11,0.5781,High
Uber,Auto & Transportation,290,1086972.6199999999,2420.28,10427.79,10171.64,42657.79,-59320.78,11,6,9.751724137931035,3.79,2.07,0.9358,Low
Apollo Pharmacy,Healthcare & Pharmacy,601,3302458.74,9233.82,79398.81,55043.08,33188.12,-148064.6,25,13,10.101497504159735,4.16,2.16,1.6667,Moderate
Hertz,Auto & Transportation,301,1595339.96,3963.86,110589.51,10744.65,32083.01,-150333.79,17,12,11.009966777408637,5.65,3.99,0.6735,High
FanDuel,Gaming & Gambling,176,948436.53,2037.22,39366.47,7321.06,26556.51,-67102.56,11,3,18.630681818181817,6.25,1.7,0.7719,Critical
Century 21,Real Estate,187,1354030.36,2554.58,459012.86000000004,67723.69,23296.239999999998,-545535.14,10,3,10.561497326203208,5.35,1.6,5.0016,Medium
Binance,Crypto Exchanges,97,229509.6,579.42,20242.23,2737.12,20216.78,-42817.46,8,5,20.463917525773194,8.25,5.15,1.1926,Critical
Khan Academy,Education,192,1131033.06,2911.83,75170.4,5336.33,19818.59,-97381.93000000001,12,10,12.1875,6.25,5.21,0.4718,Critical
AXA,Insurance,90,375103.33999999997,730.51,12132.39,3053.83,18300.01,-32234.14,4,1,9.144444444444444,4.44,1.11,0.8141,Low
Kraken,Crypto Exchanges,113,387613.18,865.29,114.78,1117.8,14528.16,-13750.71,4,1,17.82300884955752,3.54,0.88,0.2884,Critical
DMV,Government & Taxes,88,561310.21,1993.28,275181.32,6041.19,13843.16,-294347.76,8,6,14.204545454545455,9.09,6.82,1.0763,Critical
Unibet,Gaming & Gambling,202,1113617.32,2640.85,19881.46,36332.68,13395.44,-66207.20999999999,7,4,17.06930693069307,3.47,1.98,3.2626,Critical
IRS Payment,Government & Taxes,104,1057800.84,3846.81,473541.25,28168.77,13090.93,-513614.65,5,3,10.201923076923077,4.81,2.88,2.663,Moderate
Allstate,Insurance,103,724956.23,1932.15,267479.35000000003,1461.86,9659.169999999998,-274488.46,8,4,12.96116504854369,7.77,3.88,0.2016,Critical
Bet365,Gaming & Gambling,210,1144267.74,3275.11,35578.1,17725.420000000002,7775.31,-55459.96,10,6,18.928571428571427,4.76,2.86,1.5491,Critical
RE/MAX,Real Estate,176,1606297.87,3826.02,24696.86,860.09,6809.0,-11518.28,9,4,10.505681818181818,5.11,2.27,0.0535,Medium
Zillow Rental,Real Estate,209,852035.63,2038.01,73776.43,4567.11,4787.34,-80410.7,8,4,9.626794258373206,3.83,1.91,0.536,Low
Council Tax,Government & Taxes,86,431829.79,1814.78,221036.21,1624.14,2579.42,-224396.80999999997,5,4,11.476744186046512,5.81,4.65,0.3761,High
Apple TV+,Entertainment & Streaming,178,950433.78,2593.33,22123.27,6551.469999999999,2552.82,-25329.77,8,8,9.606741573033707,4.49,4.49,0.6893,Low
