transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,channel,merchant_category,merchant_name,customer_segment,fraud_flag,fraud_type,risk_score,fraud_rule_score,ml_anomaly_score_norm,final_risk_score,final_alert_tier,rules_triggered,alert_tier,chargeback_flag,refund_flag,reversal_flag,net_pnl_impact,fraud_loss,chargeback_loss
TXN-00003749,CUST-002145,2024-08-26,22910.65,Fee Charge,USSD,Online Marketplaces,Alibaba,Premium,1,Phishing,97,41.13,95.24,76.92,VERY HIGH,8,Orange,1,0,0,-24102.42,0.0,24056.18
TXN-00029362,CUST-003976,2024-10-29,2082.52,Transfer,ATM,Travel & Airlines,United Airlines,Student,1,Friendly Fraud,100,39.01,94.2,76.91,VERY HIGH,7,Yellow,1,0,0,-2182.64,0.0,2186.65
TXN-00034467,CUST-007332,2024-06-26,368776.09,Payment,POS Terminal,Luxury Goods,Louis Vuitton,Corporate,1,Friendly Fraud,97,38.3,98.45,76.89,VERY HIGH,7,Yellow,1,0,0,-756359.89,368776.09,387214.89
TXN-00039505,CUST-002910,2024-09-04,4244.71,Purchase,ATM,Gaming & Gambling,Bet365,Retail,1,Identity Theft,100,38.3,94.79,76.84,VERY HIGH,7,Yellow,1,0,1,-8629.78,4244.71,4456.95
TXN-00012371,CUST-000757,2024-08-13,54322.95,Transfer,Internet Banking,Real Estate,Zillow Rental,Premium,1,Friendly Fraud,100,36.88,96.45,76.84,VERY HIGH,7,Yellow,1,0,0,-56930.62,0.0,57039.1
TXN-00046433,CUST-002467,2024-07-08,5533.23,Purchase,USSD,Grocery & Supermarkets,ALDI,Retail,1,Account Takeover,100,38.3,94.4,76.72,VERY HIGH,7,Yellow,1,0,0,-11249.32,5533.23,5809.89
TXN-00014271,CUST-001341,2023-10-23,4182.45,Purchase,Internet Banking,Financial Services / Money Transfer,PayPal,Retail,1,Synthetic Identity,100,38.3,94.31,76.7,VERY HIGH,7,Yellow,1,0,0,-8503.34,4182.45,4391.57
TXN-00023039,CUST-007436,2023-02-13,764521.67,Purchase,Internet Banking,Healthcare & Pharmacy,Boots,Corporate,1,Phishing,100,33.33,100.0,76.67,VERY HIGH,6,Yellow,1,0,0,-1554273.02,764521.67,802747.75
TXN-00004232,CUST-004406,2023-11-19,748971.13,Purchase,Internet Banking,Retail / General Merchandise,Target,Private Banking,1,Account Takeover,100,34.04,99.1,76.64,VERY HIGH,6,Yellow,1,0,0,-773687.36,0.0,786419.69
TXN-00025870,CUST-004065,2023-05-03,519448.0,Payment,API/Open Banking,Healthcare & Pharmacy,Boots,Corporate,1,Card Not Present Fraud,100,36.17,96.59,76.64,VERY HIGH,7,Yellow,1,0,0,-545940.2,0.0,545420.4
TXN-00001591,CUST-003682,2024-11-02,12673.22,Payment,Internet Banking,Travel & Airlines,British Airways,Retail,1,Account Takeover,99,39.01,94.39,76.62,VERY HIGH,7,Yellow,1,0,0,-13319.85,0.0,13306.88
TXN-00001881,CUST-002026,2024-05-26,7847.62,Payment,USSD,Grocery & Supermarkets,Tesco,Retail,1,Card Not Present Fraud,100,37.59,94.74,76.58,VERY HIGH,7,Yellow,1,0,0,-8248.2,0.0,8240.0
TXN-00030717,CUST-002903,2024-04-16,10159.42,Purchase,Internet Banking,Restaurants & Food Delivery,DoorDash,Retail,1,Friendly Fraud,100,38.3,93.81,76.55,VERY HIGH,7,Yellow,0,0,0,172.42,0.0,0.0
TXN-00014662,CUST-000700,2024-03-29,8635.28,Deposit,POS Terminal,Crypto Exchanges,Binance,Premium,1,Account Takeover,100,36.88,95.31,76.5,VERY HIGH,7,Yellow,1,1,0,-10379.85,0.0,9067.04
TXN-00017324,CUST-001469,2024-11-09,966334.41,Transfer,Mobile Banking,Grocery & Supermarkets,ALDI,Corporate,1,Friendly Fraud,100,33.33,99.35,76.47,VERY HIGH,6,Yellow,1,0,0,-1979053.37,966334.41,1014651.13
TXN-00013178,CUST-006754,2023-11-13,5240.84,Purchase,ATM,Restaurants & Food Delivery,Starbucks,Retail,1,Phishing,100,36.88,95.09,76.44,VERY HIGH,7,Yellow,1,0,0,-10655.12,5240.84,5502.88
TXN-00011376,CUST-006358,2023-10-17,10384.27,Purchase,Call Centre,Financial Services / Money Transfer,PayPal,Premium,1,Authorised Push Payment,100,36.88,95.05,76.42,VERY HIGH,7,Yellow,1,0,0,-21111.71,10384.27,10903.48
TXN-00045835,CUST-003225,2023-05-12,5817.65,Withdrawal,Internet Banking,Healthcare & Pharmacy,Apollo Pharmacy,Retail,1,Identity Theft,100,38.3,93.4,76.42,VERY HIGH,7,Yellow,1,0,0,-6114.6,0.0,6108.53
TXN-00016577,CUST-002916,2024-12-10,653789.78,Transfer,ATM,Online Marketplaces,Flipkart,Private Banking,1,Identity Theft,100,33.33,99.05,76.38,VERY HIGH,6,Yellow,1,0,0,-1338961.85,653789.78,686479.27
TXN-00038555,CUST-000672,2023-03-29,623978.21,Fee Charge,Mobile Banking,Utilities & Telecom,Comcast,Corporate,1,Synthetic Identity,100,33.33,98.82,76.31,VERY HIGH,6,Yellow,1,0,0,-1280403.77,623978.21,655177.12
TXN-00030655,CUST-006900,2024-10-13,9470.61,Payment,Call Centre,Entertainment & Streaming,Netflix,Retail,1,Phishing,99,37.59,95.0,76.31,VERY HIGH,7,Yellow,1,0,0,-19424.51,9470.61,9944.14
TXN-00024587,CUST-004820,2024-10-21,5666.2,Purchase,Mobile Banking,Financial Services / Money Transfer,Wise,Retail,1,Mule Account,97,40.43,93.99,76.3,VERY HIGH,7,Orange,1,0,0,-11519.48,5666.2,5949.51
TXN-00035752,CUST-002081,2023-07-31,14015.69,Purchase,Mobile Banking,Retail / General Merchandise,Costco,Retail,1,Mule Account,99,36.88,95.53,76.22,VERY HIGH,7,Yellow,1,0,0,-28494.25,14015.69,14716.47
TXN-00020231,CUST-002409,2023-12-05,8996.03,Fee Charge,ATM,Financial Services / Money Transfer,PayPal,NRI / Diaspora,1,Identity Theft,100,36.88,94.34,76.21,VERY HIGH,7,Yellow,1,0,0,-18460.21,8996.03,9445.83
TXN-00017392,CUST-003045,2023-12-19,66662.98,Purchase,Branch,Hotels & Accommodation,IHG,SME,1,SIM Swap,100,33.33,98.43,76.19,VERY HIGH,6,Yellow,1,0,0,-135526.2,66662.98,69996.13
TXN-00010133,CUST-001831,2024-04-20,59413.36,Purchase,API/Open Banking,Financial Services / Money Transfer,Remitly,NRI / Diaspora,1,Mule Account,89,47.52,94.58,76.16,VERY HIGH,9,Orange,0,0,0,1009.64,0.0,0.0
TXN-00010391,CUST-003802,2024-09-04,2555.61,Purchase,Internet Banking,Utilities & Telecom,Jio,Student,1,Mule Account,100,36.88,94.18,76.16,VERY HIGH,7,Yellow,1,0,0,-5227.99,2555.61,2683.39
TXN-00030527,CUST-005869,2023-12-22,129609.9,Transfer,Mobile Banking,Entertainment & Streaming,Disney+,SME,1,First Party Fraud,100,33.33,98.26,76.14,VERY HIGH,6,Yellow,1,0,0,-265441.17,129609.9,136090.39
TXN-00005364,CUST-005824,2023-03-09,116969.11,Purchase,Internet Banking,Retail / General Merchandise,Amazon,SME,1,Authorised Push Payment,100,33.33,98.05,76.08,VERY HIGH,6,Yellow,1,0,0,-120829.58,0.0,122817.57
TXN-00022055,CUST-006715,2024-10-08,585236.88,Payment,POS Terminal,Healthcare & Pharmacy,CVS Health,Corporate,1,Friendly Fraud,100,33.33,98.04,76.08,VERY HIGH,6,Yellow,1,0,0,-615084.36,0.0,614498.72
TXN-00041895,CUST-006767,2023-04-14,10731.36,Refund,POS Terminal,Retail / General Merchandise,Target,NRI / Diaspora,1,Authorised Push Payment,100,34.75,96.25,76.04,VERY HIGH,7,Yellow,1,1,0,-23630.82,10731.36,11267.93
TXN-00045379,CUST-002512,2023-02-03,777887.27,Withdrawal,Mobile Banking,Grocery & Supermarkets,Kroger,Corporate,1,Card Not Present Fraud,100,33.33,97.93,76.04,VERY HIGH,6,Yellow,1,0,0,-817560.02,0.0,816781.63
TXN-00013706,CUST-001137,2023-05-29,190743.97,Transfer,USSD,Restaurants & Food Delivery,Uber Eats,Corporate,1,Card Not Present Fraud,99,34.75,97.39,76.03,VERY HIGH,7,Yellow,1,0,0,-199899.92,0.0,200281.17
TXN-00005395,CUST-007682,2023-02-12,23182.48,Deposit,Internet Banking,Fuel & Petroleum,Shell,Premium,1,Phishing,96,41.84,92.54,76.01,VERY HIGH,8,Orange,0,0,0,-46.84,0.0,0.0
TXN-00019162,CUST-007553,2023-02-18,50371.1,Purchase,Branch,Crypto Exchanges,OKX,Private Banking,1,Authorised Push Payment,100,33.33,97.76,75.99,VERY HIGH,6,Yellow,1,1,0,-109960.44,50371.1,52889.65
TXN-00029134,CUST-006519,2024-08-08,17935.01,Purchase,Internet Banking,Retail / General Merchandise,Target,NRI / Diaspora,1,Identity Theft,100,35.46,95.15,75.96,VERY HIGH,7,Yellow,1,0,0,-18527.26,0.0,18831.76
TXN-00033684,CUST-007845,2023-11-25,818635.58,Reversal,Branch,Financial Services / Money Transfer,Western Union,Corporate,1,Identity Theft,96,38.3,96.47,75.95,VERY HIGH,7,Yellow,0,0,1,-1637.75,0.0,0.0
TXN-00020230,CUST-005707,2023-08-23,656169.69,Deposit,Internet Banking,Fuel & Petroleum,TotalEnergies,Corporate,1,Mule Account,100,32.62,98.42,75.94,VERY HIGH,6,Yellow,1,0,0,-1346460.32,656169.69,688978.17
TXN-00011468,CUST-002973,2023-03-04,111738.55,Interest Credit,Branch,Healthcare & Pharmacy,Boots,SME,1,Phishing,100,33.33,97.42,75.89,VERY HIGH,6,Yellow,1,0,0,-117549.14,0.0,117325.48
TXN-00043215,CUST-006806,2023-09-07,119945.57,Deposit,ATM,Online Marketplaces,Etsy,SME,1,Friendly Fraud,100,33.33,97.37,75.88,VERY HIGH,6,Yellow,1,0,0,-126183.12,0.0,125942.85
TXN-00020602,CUST-002197,2023-12-10,40504.08,Deposit,Mobile Banking,Restaurants & Food Delivery,Starbucks,Premium,1,Phishing,100,33.33,97.11,75.8,VERY HIGH,6,Yellow,1,0,0,-83114.75,40504.08,42529.28
TXN-00044600,CUST-005856,2024-01-16,136477.53,Transfer,Mobile Banking,Restaurants & Food Delivery,Starbucks,SME,1,Synthetic Identity,100,33.33,97.07,75.79,VERY HIGH,6,Yellow,1,0,0,-143028.62,0.0,143301.41
TXN-00036832,CUST-002197,2024-12-04,24970.43,Card Not Present,Mobile Banking,Utilities & Telecom,Jio,Premium,1,Mule Account,100,34.04,96.21,75.78,VERY HIGH,6,Yellow,1,0,0,-51189.5,24970.43,26218.95
TXN-00021692,CUST-003416,2024-04-21,75902.47,Interest Credit,ATM,Hotels & Accommodation,Airbnb,Premium,1,Account Takeover,100,33.33,97.03,75.77,VERY HIGH,6,Yellow,1,0,0,-79849.73,0.0,79697.59
TXN-00015945,CUST-007124,2023-04-19,318767.71,Wire Transfer,Call Centre,Fuel & Petroleum,TotalEnergies,Corporate,1,Mule Account,100,31.21,99.49,75.77,VERY HIGH,6,Yellow,1,0,0,-651880.13,318767.71,334706.1
TXN-00041021,CUST-001309,2024-11-08,2450.99,Purchase,USSD,Gaming & Gambling,DraftKings,Retail,1,Friendly Fraud,100,36.17,93.51,75.71,VERY HIGH,7,Yellow,1,0,0,-4983.15,2450.99,2573.54
TXN-00008781,CUST-001061,2023-05-30,296743.07,Refund,API/Open Banking,Financial Services / Money Transfer,PayPal,Corporate,1,Synthetic Identity,95,36.88,98.36,75.67,VERY HIGH,7,Yellow,0,1,0,-341848.51,296743.07,0.0
TXN-00024137,CUST-000560,2024-08-12,35878.52,Purchase,POS Terminal,Fuel & Petroleum,Shell,Premium,1,Mule Account,95,38.3,96.68,75.66,VERY HIGH,7,Yellow,0,0,0,-35268.7,35878.52,0.0
TXN-00008848,CUST-003240,2024-04-07,31410.85,Purchase,ATM,Utilities & Telecom,Vodafone,Premium,1,Account Takeover,100,33.33,96.41,75.59,VERY HIGH,6,Yellow,1,0,0,-64251.3,31410.85,32981.39
TXN-00007572,CUST-004049,2023-04-22,220508.77,Fee Charge,Internet Banking,Travel & Airlines,United Airlines,Corporate,1,SIM Swap,99,32.62,98.4,75.59,VERY HIGH,6,Yellow,1,0,0,-452484.2,220508.77,231534.21
TXN-00048507,CUST-006545,2023-04-11,28207.8,Deposit,Mobile Banking,Retail / General Merchandise,Walmart,Premium,1,Mule Account,100,33.33,96.41,75.59,VERY HIGH,6,Yellow,1,0,0,-57882.61,28207.8,29618.19
TXN-00007293,CUST-003064,2023-11-21,11682.78,Transfer,API/Open Banking,Financial Services / Money Transfer,Wise,Premium,1,Authorised Push Payment,100,36.17,93.09,75.59,VERY HIGH,7,Yellow,1,0,0,-12243.71,0.0,12266.92
TXN-00000543,CUST-004787,2023-06-19,436064.3,Refund,Internet Banking,Real Estate,Century 21,Corporate,1,Identity Theft,93,38.3,98.65,75.55,VERY HIGH,7,Yellow,1,1,0,-524149.49,0.0,457867.52
TXN-00005335,CUST-007190,2023-03-12,13513.81,Interest Credit,Internet Banking,Financial Services / Money Transfer,Wise,Premium,1,Friendly Fraud,97,36.88,95.27,75.44,VERY HIGH,7,Yellow,1,1,0,-29757.76,13513.81,14189.5
TXN-00010017,CUST-007267,2024-03-16,2701.8,Refund,Mobile Banking,Utilities & Telecom,Vodafone,Retail,1,Authorised Push Payment,100,34.75,94.22,75.43,VERY HIGH,7,Yellow,1,1,0,-3247.97,0.0,2836.89
TXN-00041031,CUST-006473,2023-03-18,40100.04,Fee Charge,Internet Banking,Financial Services / Money Transfer,Remitly,Premium,1,First Party Fraud,97,39.01,92.77,75.43,VERY HIGH,7,Yellow,0,0,0,-80.3,0.0,0.0
TXN-00039625,CUST-002704,2023-04-14,1318.31,Purchase,ATM,Financial Services / Money Transfer,Remitly,Retail,1,Account Takeover,100,36.17,92.46,75.4,VERY HIGH,7,Yellow,1,0,0,-1362.18,0.0,1384.23
TXN-00045767,CUST-000126,2024-11-15,3208.67,Refund,Branch,Insurance,Allstate,Retail,1,Friendly Fraud,98,36.17,94.58,75.33,VERY HIGH,7,Yellow,1,1,0,-7065.9,3208.67,3369.1
TXN-00041918,CUST-001123,2023-03-21,467363.81,Withdrawal,Internet Banking,Utilities & Telecom,AT&T,Corporate,1,Mule Account,98,33.33,97.8,75.31,VERY HIGH,6,Yellow,1,0,0,-491199.5,0.0,490732.0
TXN-00008516,CUST-002370,2023-03-12,43118.47,Deposit,ATM,Financial Services / Money Transfer,Wise,SME,1,Friendly Fraud,100,31.91,97.13,75.31,VERY HIGH,6,Yellow,1,0,0,-88479.4,43118.47,45274.39
TXN-00016820,CUST-003863,2024-11-05,8856.65,Withdrawal,Branch,Fuel & Petroleum,TotalEnergies,Retail,1,Account Takeover,100,33.33,95.46,75.3,VERY HIGH,6,Yellow,1,0,0,-18165.27,8856.65,9299.48
TXN-00048924,CUST-004729,2023-07-31,84887.34,Deposit,ATM,Retail / General Merchandise,Amazon,SME,1,First Party Fraud,99,33.33,96.58,75.29,VERY HIGH,6,Yellow,1,0,0,-89301.89,0.0,89131.71
TXN-00010899,CUST-004133,2023-05-28,632563.96,Transfer,Internet Banking,Grocery & Supermarkets,Sainsbury's,Private Banking,1,Phishing,98,31.91,99.39,75.29,VERY HIGH,6,Yellow,1,0,0,-1295491.12,632563.96,664192.16
TXN-00047415,CUST-002518,2024-09-27,45927.49,Withdrawal,Mobile Banking,Electronics & Technology,Samsung,Premium,1,Synthetic Identity,100,33.33,95.35,75.27,VERY HIGH,6,Yellow,1,0,0,-48270.11,0.0,48223.86
